High,Low,Open,Volume
582.8389892578125,573.1300048828125,577.1669921875,80265800.0
5336.68000293,5233.33520521,5298.15452927,13780238655.1805
358.6319885253906,349.8089904785156,354.7770080566406,13033000.0
2448.389892578125,2288.330078125,2288.330078125,1653180032.0
7342.25,6634.759765625,6634.759765625,4200880128.0
8136.9452227,7814.76324378,7922.1470416,42213940993.6104
239.9010009765625,236.4019927978516,238.9980010986328,14200400.0
8110.09813105,7597.38160764,8023.64468729,22514243371.4685
9516.18104772,9232.64808578,9248.4405622,28426779937.4131
419.26800537109375,417.364013671875,418.1610107421875,61444200.0
11992.7998046875,11172.099609375,11429.7998046875,10740400128.0
263.0,244.77999877929688,244.77999877929688,10906334004.866829
3695.03601276,3640.97995463,3673.20153682,6282256902.9225
10512.3277534,10126.2995187,10126.2995187,18438654079.5348
